Compiled from "NumberMathModificationInfo.java"

  public static int plus(int, byte);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #153                // Field int_plus:Z
       6: ifeq          15
       9: iload_0
      10: iload_1
      11: invokestatic  #410                // Method plusSlow:(IB)I
      14: ireturn
      15: iload_0
      16: iload_1
      17: iadd
      18: ireturn

  private static int plusSlow(int, byte);
    Code:
       0: iload_0
       1: invokestatic  #360                // Method java/lang/Integer.valueOf:(I)Ljava/lang/Integer;
       4: ldc           #138                // String plus
       6: iload_1
       7: invokestatic  #334                // Method java/lang/Byte.valueOf:(B)Ljava/lang/Byte;
      10: invokestatic  #340                // Method org/codehaus/groovy/runtime/InvokerHelper.invokeMethod:(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;
      13: checkcast     #342                // class java/lang/Number
      16: invokevirtual #346                // Method java/lang/Number.intValue:()I
      19: ireturn

  public static int plus(int, short);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #153                // Field int_plus:Z
       6: ifeq          15
       9: iload_0
      10: iload_1
      11: invokestatic  #413                // Method plusSlow:(IS)I
      14: ireturn
      15: iload_0
      16: iload_1
      17: iadd
      18: ireturn

  private static int plusSlow(int, short);
    Code:
       0: iload_0
       1: invokestatic  #360                // Method java/lang/Integer.valueOf:(I)Ljava/lang/Integer;
       4: ldc           #138                // String plus
       6: iload_1
       7: invokestatic  #353                // Method java/lang/Short.valueOf:(S)Ljava/lang/Short;
      10: invokestatic  #340                // Method org/codehaus/groovy/runtime/InvokerHelper.invokeMethod:(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;
      13: checkcast     #342                // class java/lang/Number
      16: invokevirtual #346                // Method java/lang/Number.intValue:()I
      19: ireturn

  public static int plus(int, int);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #153                // Field int_plus:Z
       6: ifeq          15
       9: iload_0
      10: iload_1
      11: invokestatic  #416                // Method plusSlow:(II)I
      14: ireturn
      15: iload_0
      16: iload_1
      17: iadd
      18: ireturn

  private static int plusSlow(int, int);
    Code:
       0: iload_0
       1: invokestatic  #360                // Method java/lang/Integer.valueOf:(I)Ljava/lang/Integer;
       4: ldc           #138                // String plus
       6: iload_1
       7: invokestatic  #360                // Method java/lang/Integer.valueOf:(I)Ljava/lang/Integer;
      10: invokestatic  #340                // Method org/codehaus/groovy/runtime/InvokerHelper.invokeMethod:(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;
      13: checkcast     #342                // class java/lang/Number
      16: invokevirtual #346                // Method java/lang/Number.intValue:()I
      19: ireturn

  public static long plus(int, long);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #153                // Field int_plus:Z
       6: ifeq          15
       9: iload_0
      10: lload_1
      11: invokestatic  #419                // Method plusSlow:(IJ)J
      14: lreturn
      15: iload_0
      16: i2l
      17: lload_1
      18: ladd
      19: lreturn

  private static long plusSlow(int, long);
    Code:
       0: iload_0
       1: invokestatic  #360                // Method java/lang/Integer.valueOf:(I)Ljava/lang/Integer;
       4: ldc           #138                // String plus
       6: lload_1
       7: invokestatic  #367                // Method java/lang/Long.valueOf:(J)Ljava/lang/Long;
      10: invokestatic  #340                // Method org/codehaus/groovy/runtime/InvokerHelper.invokeMethod:(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;
      13: checkcast     #342                // class java/lang/Number
      16: invokevirtual #371                // Method java/lang/Number.longValue:()J
      19: lreturn

  public static double plus(int, float);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #153                // Field int_plus:Z
       6: ifeq          15
       9: iload_0
      10: fload_1
      11: invokestatic  #422                // Method plusSlow:(IF)D
      14: dreturn
      15: iload_0
      16: i2d
      17: fload_1
      18: f2d
      19: dadd
      20: dreturn

  private static double plusSlow(int, float);
    Code:
       0: iload_0
       1: invokestatic  #360                // Method java/lang/Integer.valueOf:(I)Ljava/lang/Integer;
       4: ldc           #138                // String plus
       6: fload_1
       7: invokestatic  #378                // Method java/lang/Float.valueOf:(F)Ljava/lang/Float;
      10: invokestatic  #340                // Method org/codehaus/groovy/runtime/InvokerHelper.invokeMethod:(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;
      13: checkcast     #342                // class java/lang/Number
      16: invokevirtual #382                // Method java/lang/Number.doubleValue:()D
      19: dreturn

  public static double plus(int, double);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #153                // Field int_plus:Z
       6: ifeq          15
       9: iload_0
      10: dload_1
      11: invokestatic  #425                // Method plusSlow:(ID)D
      14: dreturn
      15: iload_0
      16: i2d
      17: dload_1
      18: dadd
      19: dreturn

  private static double plusSlow(int, double);
    Code:
       0: iload_0
       1: invokestatic  #360                // Method java/lang/Integer.valueOf:(I)Ljava/lang/Integer;
       4: ldc           #138                // String plus
       6: dload_1
       7: invokestatic  #389                // Method java/lang/Double.valueOf:(D)Ljava/lang/Double;
      10: invokestatic  #340                // Method org/codehaus/groovy/runtime/InvokerHelper.invokeMethod:(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;
      13: checkcast     #342                // class java/lang/Number
      16: invokevirtual #382                // Method java/lang/Number.doubleValue:()D
      19: dreturn

  public static long plus(long, byte);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #157                // Field long_plus:Z
       6: ifeq          15
       9: lload_0
      10: iload_2
      11: invokestatic  #428                // Method plusSlow:(JB)J
      14: lreturn
      15: lload_0
      16: iload_2
      17: i2l
      18: ladd
      19: lreturn

  private static long plusSlow(long, byte);
    Code:
       0: lload_0
       1: invokestatic  #367                // Method java/lang/Long.valueOf:(J)Ljava/lang/Long;
       4: ldc           #138                // String plus
       6: iload_2
       7: invokestatic  #334                // Method java/lang/Byte.valueOf:(B)Ljava/lang/Byte;
      10: invokestatic  #340                // Method org/codehaus/groovy/runtime/InvokerHelper.invokeMethod:(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;
      13: checkcast     #342                // class java/lang/Number
      16: invokevirtual #371                // Method java/lang/Number.longValue:()J
      19: lreturn

  public static long plus(long, short);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #157                // Field long_plus:Z
       6: ifeq          15
       9: lload_0
      10: iload_2
      11: invokestatic  #431                // Method plusSlow:(JS)J
      14: lreturn
      15: lload_0
      16: iload_2
      17: i2l
      18: ladd
      19: lreturn

  private static long plusSlow(long, short);
    Code:
       0: lload_0
       1: invokestatic  #367                // Method java/lang/Long.valueOf:(J)Ljava/lang/Long;
       4: ldc           #138                // String plus
       6: iload_2
       7: invokestatic  #353                // Method java/lang/Short.valueOf:(S)Ljava/lang/Short;
      10: invokestatic  #340                // Method org/codehaus/groovy/runtime/InvokerHelper.invokeMethod:(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;
      13: checkcast     #342                // class java/lang/Number
      16: invokevirtual #371                // Method java/lang/Number.longValue:()J
      19: lreturn

  public static long plus(long, int);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #157                // Field long_plus:Z
       6: ifeq          15
       9: lload_0
      10: iload_2
      11: invokestatic  #434                // Method plusSlow:(JI)J
      14: lreturn
      15: lload_0
      16: iload_2
      17: i2l
      18: ladd
      19: lreturn

  private static long plusSlow(long, int);
    Code:
       0: lload_0
       1: invokestatic  #367                // Method java/lang/Long.valueOf:(J)Ljava/lang/Long;
       4: ldc           #138                // String plus
       6: iload_2
       7: invokestatic  #360                // Method java/lang/Integer.valueOf:(I)Ljava/lang/Integer;
      10: invokestatic  #340                // Method org/codehaus/groovy/runtime/InvokerHelper.invokeMethod:(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;
      13: checkcast     #342                // class java/lang/Number
      16: invokevirtual #371                // Method java/lang/Number.longValue:()J
      19: lreturn

  public static long plus(long, long);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #157                // Field long_plus:Z
       6: ifeq          15
       9: lload_0
      10: lload_2
      11: invokestatic  #437                // Method plusSlow:(JJ)J
      14: lreturn
      15: lload_0
      16: lload_2
      17: ladd
      18: lreturn

  private static long plusSlow(long, long);
    Code:
       0: lload_0
       1: invokestatic  #367                // Method java/lang/Long.valueOf:(J)Ljava/lang/Long;
       4: ldc           #138                // String plus
       6: lload_2
       7: invokestatic  #367                // Method java/lang/Long.valueOf:(J)Ljava/lang/Long;
      10: invokestatic  #340                // Method org/codehaus/groovy/runtime/InvokerHelper.invokeMethod:(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;
      13: checkcast     #342                // class java/lang/Number
      16: invokevirtual #371                // Method java/lang/Number.longValue:()J
      19: lreturn

  public static double plus(long, float);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #157                // Field long_plus:Z
       6: ifeq          15
       9: lload_0
      10: fload_2
      11: invokestatic  #440                // Method plusSlow:(JF)D
      14: dreturn
      15: lload_0
      16: l2d
      17: fload_2
      18: f2d
      19: dadd
      20: dreturn

  private static double plusSlow(long, float);
    Code:
       0: lload_0
       1: invokestatic  #367                // Method java/lang/Long.valueOf:(J)Ljava/lang/Long;
       4: ldc           #138                // String plus
       6: fload_2
       7: invokestatic  #378                // Method java/lang/Float.valueOf:(F)Ljava/lang/Float;
      10: invokestatic  #340                // Method org/codehaus/groovy/runtime/InvokerHelper.invokeMethod:(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;
      13: checkcast     #342                // class java/lang/Number
      16: invokevirtual #382                // Method java/lang/Number.doubleValue:()D
      19: dreturn

  public static double plus(long, double);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #157                // Field long_plus:Z
       6: ifeq          15
       9: lload_0
      10: dload_2
      11: invokestatic  #443                // Method plusSlow:(JD)D
      14: dreturn
      15: lload_0
      16: l2d
      17: dload_2
      18: dadd
      19: dreturn

  private static double plusSlow(long, double);
    Code:
       0: lload_0
       1: invokestatic  #367                // Method java/lang/Long.valueOf:(J)Ljava/lang/Long;
       4: ldc           #138                // String plus
       6: dload_2
       7: invokestatic  #389                // Method java/lang/Double.valueOf:(D)Ljava/lang/Double;
      10: invokestatic  #340                // Method org/codehaus/groovy/runtime/InvokerHelper.invokeMethod:(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;
      13: checkcast     #342                // class java/lang/Number
      16: invokevirtual #382                // Method java/lang/Number.doubleValue:()D
      19: dreturn

  public static double plus(float, byte);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #161                // Field float_plus:Z
       6: ifeq          15
       9: fload_0
      10: iload_1
      11: invokestatic  #446                // Method plusSlow:(FB)D
      14: dreturn
      15: fload_0
      16: f2d
      17: iload_1
      18: i2d
      19: dadd
      20: dreturn

  private static double plusSlow(float, byte);
    Code:
       0: fload_0
       1: invokestatic  #378                // Method java/lang/Float.valueOf:(F)Ljava/lang/Float;
       4: ldc           #138                // String plus
       6: iload_1
       7: invokestatic  #334                // Method java/lang/Byte.valueOf:(B)Ljava/lang/Byte;
      10: invokestatic  #340                // Method org/codehaus/groovy/runtime/InvokerHelper.invokeMethod:(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;
      13: checkcast     #342                // class java/lang/Number
      16: invokevirtual #382                // Method java/lang/Number.doubleValue:()D
      19: dreturn

  public static double plus(float, short);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #161                // Field float_plus:Z
       6: ifeq          15
       9: fload_0
      10: iload_1
      11: invokestatic  #449                // Method plusSlow:(FS)D
      14: dreturn
      15: fload_0
      16: f2d
      17: iload_1
      18: i2d
      19: dadd
      20: dreturn

  private static double plusSlow(float, short);
    Code:
       0: fload_0
       1: invokestatic  #378                // Method java/lang/Float.valueOf:(F)Ljava/lang/Float;
       4: ldc           #138                // String plus
       6: iload_1
       7: invokestatic  #353                // Method java/lang/Short.valueOf:(S)Ljava/lang/Short;
      10: invokestatic  #340                // Method org/codehaus/groovy/runtime/InvokerHelper.invokeMethod:(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;
      13: checkcast     #342                // class java/lang/Number
      16: invokevirtual #382                // Method java/lang/Number.doubleValue:()D
      19: dreturn

  public static double plus(float, int);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #161                // Field float_plus:Z
       6: ifeq          15
       9: fload_0
      10: iload_1
      11: invokestatic  #452                // Method plusSlow:(FI)D
      14: dreturn
      15: fload_0
      16: f2d
      17: iload_1
      18: i2d
      19: dadd
      20: dreturn

  private static double plusSlow(float, int);
    Code:
       0: fload_0
       1: invokestatic  #378                // Method java/lang/Float.valueOf:(F)Ljava/lang/Float;
       4: ldc           #138                // String plus
       6: iload_1
       7: invokestatic  #360                // Method java/lang/Integer.valueOf:(I)Ljava/lang/Integer;
      10: invokestatic  #340                // Method org/codehaus/groovy/runtime/InvokerHelper.invokeMethod:(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;
      13: checkcast     #342                // class java/lang/Number
      16: invokevirtual #382                // Method java/lang/Number.doubleValue:()D
      19: dreturn

  public static double plus(float, long);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #161                // Field float_plus:Z
       6: ifeq          15
       9: fload_0
      10: lload_1
      11: invokestatic  #455                // Method plusSlow:(FJ)D
      14: dreturn
      15: fload_0
      16: f2d
      17: lload_1
      18: l2d
      19: dadd
      20: dreturn

  private static double plusSlow(float, long);
    Code:
       0: fload_0
       1: invokestatic  #378                // Method java/lang/Float.valueOf:(F)Ljava/lang/Float;
       4: ldc           #138                // String plus
       6: lload_1
       7: invokestatic  #367                // Method java/lang/Long.valueOf:(J)Ljava/lang/Long;
      10: invokestatic  #340                // Method org/codehaus/groovy/runtime/InvokerHelper.invokeMethod:(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;
      13: checkcast     #342                // class java/lang/Number
      16: invokevirtual #382                // Method java/lang/Number.doubleValue:()D
      19: dreturn

  public static double plus(float, float);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #161                // Field float_plus:Z
       6: ifeq          15
       9: fload_0
      10: fload_1
      11: invokestatic  #458                // Method plusSlow:(FF)D
      14: dreturn
      15: fload_0
      16: f2d
      17: fload_1
      18: f2d
      19: dadd
      20: dreturn

  private static double plusSlow(float, float);
    Code:
       0: fload_0
       1: invokestatic  #378                // Method java/lang/Float.valueOf:(F)Ljava/lang/Float;
       4: ldc           #138                // String plus
       6: fload_1
       7: invokestatic  #378                // Method java/lang/Float.valueOf:(F)Ljava/lang/Float;
      10: invokestatic  #340                // Method org/codehaus/groovy/runtime/InvokerHelper.invokeMethod:(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;
      13: checkcast     #342                // class java/lang/Number
      16: invokevirtual #382                // Method java/lang/Number.doubleValue:()D
      19: dreturn

  public static double plus(float, double);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #161                // Field float_plus:Z
       6: ifeq          15
       9: fload_0
      10: dload_1
      11: invokestatic  #461                // Method plusSlow:(FD)D
      14: dreturn
      15: fload_0
      16: f2d
      17: dload_1
      18: dadd
      19: dreturn

  private static double plusSlow(float, double);
    Code:
       0: fload_0
       1: invokestatic  #378                // Method java/lang/Float.valueOf:(F)Ljava/lang/Float;
       4: ldc           #138                // String plus
       6: dload_1
       7: invokestatic  #389                // Method java/lang/Double.valueOf:(D)Ljava/lang/Double;
      10: invokestatic  #340                // Method org/codehaus/groovy/runtime/InvokerHelper.invokeMethod:(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;
      13: checkcast     #342                // class java/lang/Number
      16: invokevirtual #382                // Method java/lang/Number.doubleValue:()D
      19: dreturn

  public static double plus(double, byte);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #165                // Field double_plus:Z
       6: ifeq          15
       9: dload_0
      10: iload_2
      11: invokestatic  #464                // Method plusSlow:(DB)D
      14: dreturn
      15: dload_0
      16: iload_2
      17: i2d
      18: dadd
      19: dreturn

  private static double plusSlow(double, byte);
    Code:
       0: dload_0
       1: invokestatic  #389                // Method java/lang/Double.valueOf:(D)Ljava/lang/Double;
       4: ldc           #138                // String plus
       6: iload_2
       7: invokestatic  #334                // Method java/lang/Byte.valueOf:(B)Ljava/lang/Byte;
      10: invokestatic  #340                // Method org/codehaus/groovy/runtime/InvokerHelper.invokeMethod:(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;
      13: checkcast     #342                // class java/lang/Number
      16: invokevirtual #382                // Method java/lang/Number.doubleValue:()D
      19: dreturn

  public static double plus(double, short);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #165                // Field double_plus:Z
       6: ifeq          15
       9: dload_0
      10: iload_2
      11: invokestatic  #467                // Method plusSlow:(DS)D
      14: dreturn
      15: dload_0
      16: iload_2
      17: i2d
      18: dadd
      19: dreturn

  private static double plusSlow(double, short);
    Code:
       0: dload_0
       1: invokestatic  #389                // Method java/lang/Double.valueOf:(D)Ljava/lang/Double;
       4: ldc           #138                // String plus
       6: iload_2
       7: invokestatic  #353                // Method java/lang/Short.valueOf:(S)Ljava/lang/Short;
      10: invokestatic  #340                // Method org/codehaus/groovy/runtime/InvokerHelper.invokeMethod:(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;
      13: checkcast     #342                // class java/lang/Number
      16: invokevirtual #382                // Method java/lang/Number.doubleValue:()D
      19: dreturn

  public static double plus(double, int);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #165                // Field double_plus:Z
       6: ifeq          15
       9: dload_0
      10: iload_2
      11: invokestatic  #470                // Method plusSlow:(DI)D
      14: dreturn
      15: dload_0
      16: iload_2
      17: i2d
      18: dadd
      19: dreturn

  private static double plusSlow(double, int);
    Code:
       0: dload_0
       1: invokestatic  #389                // Method java/lang/Double.valueOf:(D)Ljava/lang/Double;
       4: ldc           #138                // String plus
       6: iload_2
       7: invokestatic  #360                // Method java/lang/Integer.valueOf:(I)Ljava/lang/Integer;
      10: invokestatic  #340                // Method org/codehaus/groovy/runtime/InvokerHelper.invokeMethod:(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;
      13: checkcast     #342                // class java/lang/Number
      16: invokevirtual #382                // Method java/lang/Number.doubleValue:()D
      19: dreturn

  public static double plus(double, long);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #165                // Field double_plus:Z
       6: ifeq          15
       9: dload_0
      10: lload_2
      11: invokestatic  #473                // Method plusSlow:(DJ)D
      14: dreturn
      15: dload_0
      16: lload_2
      17: l2d
      18: dadd
      19: dreturn

  private static double plusSlow(double, long);
    Code:
       0: dload_0
       1: invokestatic  #389                // Method java/lang/Double.valueOf:(D)Ljava/lang/Double;
       4: ldc           #138                // String plus
       6: lload_2
       7: invokestatic  #367                // Method java/lang/Long.valueOf:(J)Ljava/lang/Long;
      10: invokestatic  #340                // Method org/codehaus/groovy/runtime/InvokerHelper.invokeMethod:(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;
      13: checkcast     #342                // class java/lang/Number
      16: invokevirtual #382                // Method java/lang/Number.doubleValue:()D
      19: dreturn

  public static double plus(double, float);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #165                // Field double_plus:Z
       6: ifeq          15
       9: dload_0
      10: fload_2
      11: invokestatic  #476                // Method plusSlow:(DF)D
      14: dreturn
      15: dload_0
      16: fload_2
      17: f2d
      18: dadd
      19: dreturn

  private static double plusSlow(double, float);
    Code:
       0: dload_0
       1: invokestatic  #389                // Method java/lang/Double.valueOf:(D)Ljava/lang/Double;
       4: ldc           #138                // String plus
       6: fload_2
       7: invokestatic  #378                // Method java/lang/Float.valueOf:(F)Ljava/lang/Float;
      10: invokestatic  #340                // Method org/codehaus/groovy/runtime/InvokerHelper.invokeMethod:(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;
      13: checkcast     #342                // class java/lang/Number
      16: invokevirtual #382                // Method java/lang/Number.doubleValue:()D
      19: dreturn

  public static double plus(double, double);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #165                // Field double_plus:Z
       6: ifeq          15
       9: dload_0
      10: dload_2
      11: invokestatic  #479                // Method plusSlow:(DD)D
      14: dreturn
      15: dload_0
      16: dload_2
      17: dadd
      18: dreturn

  private static double plusSlow(double, double);
    Code:
       0: dload_0
       1: invokestatic  #389                // Method java/lang/Double.valueOf:(D)Ljava/lang/Double;
       4: ldc           #138                // String plus
       6: dload_2
       7: invokestatic  #389                // Method java/lang/Double.valueOf:(D)Ljava/lang/Double;
      10: invokestatic  #340                // Method org/codehaus/groovy/runtime/InvokerHelper.invokeMethod:(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;
      13: checkcast     #342                // class java/lang/Number
      16: invokevirtual #382                // Method java/lang/Number.doubleValue:()D
      19: dreturn

  public static int minus(byte, byte);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #169                // Field byte_minus:Z
       6: ifeq          15
       9: iload_0
      10: iload_1
      11: invokestatic  #482                // Method minusSlow:(BB)I
      14: ireturn
      15: iload_0
      16: iload_1
      17: isub
      18: ireturn

  private static int minusSlow(byte, byte);
    Code:
       0: iload_0
       1: invokestatic  #334                // Method java/lang/Byte.valueOf:(B)Ljava/lang/Byte;
       4: ldc           #167                // String minus
       6: iload_1
       7: invokestatic  #334                // Method java/lang/Byte.valueOf:(B)Ljava/lang/Byte;
      10: invokestatic  #340                // Method org/codehaus/groovy/runtime/InvokerHelper.invokeMethod:(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;
      13: checkcast     #342                // class java/lang/Number
      16: invokevirtual #346                // Method java/lang/Number.intValue:()I
      19: ireturn

  public static int minus(byte, short);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #169                // Field byte_minus:Z
       6: ifeq          15
       9: iload_0
      10: iload_1
      11: invokestatic  #484                // Method minusSlow:(BS)I
      14: ireturn
      15: iload_0
      16: iload_1
      17: isub
      18: ireturn

  private static int minusSlow(byte, short);
    Code:
       0: iload_0
       1: invokestatic  #334                // Method java/lang/Byte.valueOf:(B)Ljava/lang/Byte;
       4: ldc           #167                // String minus
       6: iload_1
       7: invokestatic  #353                // Method java/lang/Short.valueOf:(S)Ljava/lang/Short;
      10: invokestatic  #340                // Method org/codehaus/groovy/runtime/InvokerHelper.invokeMethod:(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;
      13: checkcast     #342                // class java/lang/Number
      16: invokevirtual #346                // Method java/lang/Number.intValue:()I
      19: ireturn

  public static int minus(byte, int);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #169                // Field byte_minus:Z
       6: ifeq          15
       9: iload_0
      10: iload_1
      11: invokestatic  #486                // Method minusSlow:(BI)I
      14: ireturn
      15: iload_0
      16: iload_1
      17: isub
      18: ireturn

  private static int minusSlow(byte, int);
    Code:
       0: iload_0
       1: invokestatic  #334                // Method java/lang/Byte.valueOf:(B)Ljava/lang/Byte;
       4: ldc           #167                // String minus
       6: iload_1
       7: invokestatic  #360                // Method java/lang/Integer.valueOf:(I)Ljava/lang/Integer;
      10: invokestatic  #340                // Method org/codehaus/groovy/runtime/InvokerHelper.invokeMethod:(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;
      13: checkcast     #342                // class java/lang/Number
      16: invokevirtual #346                // Method java/lang/Number.intValue:()I
      19: ireturn

  public static long minus(byte, long);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #169                // Field byte_minus:Z
       6: ifeq          15
       9: iload_0
      10: lload_1
      11: invokestatic  #488                // Method minusSlow:(BJ)J
      14: lreturn
      15: iload_0
      16: i2l
      17: lload_1
      18: lsub
      19: lreturn

  private static long minusSlow(byte, long);
    Code:
       0: iload_0
       1: invokestatic  #334                // Method java/lang/Byte.valueOf:(B)Ljava/lang/Byte;
       4: ldc           #167                // String minus
       6: lload_1
       7: invokestatic  #367                // Method java/lang/Long.valueOf:(J)Ljava/lang/Long;
      10: invokestatic  #340                // Method org/codehaus/groovy/runtime/InvokerHelper.invokeMethod:(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;
      13: checkcast     #342                // class java/lang/Number
      16: invokevirtual #371                // Method java/lang/Number.longValue:()J
      19: lreturn

  public static double minus(byte, float);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #169                // Field byte_minus:Z
       6: ifeq          15
       9: iload_0
      10: fload_1
      11: invokestatic  #490                // Method minusSlow:(BF)D
      14: dreturn
      15: iload_0
      16: i2d
      17: fload_1
      18: f2d
      19: dsub
      20: dreturn

  private static double minusSlow(byte, float);
    Code:
       0: iload_0
       1: invokestatic  #334                // Method java/lang/Byte.valueOf:(B)Ljava/lang/Byte;
       4: ldc           #167                // String minus
       6: fload_1
       7: invokestatic  #378                // Method java/lang/Float.valueOf:(F)Ljava/lang/Float;
      10: invokestatic  #340                // Method org/codehaus/groovy/runtime/InvokerHelper.invokeMethod:(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;
      13: checkcast     #342                // class java/lang/Number
